City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,afaahiti,-17.75,-149.2833,25.99,82,96,2.93,PF,1730912496
83,lazaro cardenas,17.9583,-102.2,29.38,62,8,0.76,MX,1730912497
84,ghadamis,30.1337,9.5007,24.67,28,43,3.39,LY,1730912499
85,jamestown,42.097,-79.2353,18.9,88,100,6.17,US,1730912500
86,qarauyl,48.9451,79.255,5.74,41,87,12.66,KZ,1730912501
87,kapa'a,22.0752,-159.319,24.18,95,75,8.23,US,1730912502
88,riyadh,24.6877,46.7219,25.47,40,0,5.93,SA,1730912503
89,naze,28.3667,129.4833,18.51,65,82,5.38,JP,1730912505
90,meulaboh,4.1363,96.1285,25.2,86,100,1.09,ID,1730912506
91,mizdah,31.4451,12.9801,19.72,47,0,4.24,LY,1730912507
92,petnjica,42.9092,19.9638,6.36,68,82,1.91,ME,1730912508
93,mao,39.8885,4.2658,19.31,94,75,1.54,ES,1730912509
94,nantucket,41.2835,-70.0995,19.06,77,0,11.8,US,1730912510
95,viet tri,21.3019,105.4308,23.55,62,83,1.14,VN,1730912512
96,port mathurin,-19.6833,63.4167,23.93,79,3,10.16,MU,1730912513
97,bilibino,68.0546,166.4372,-22.9,99,100,0.74,RU,1730912514
98,divnomorskoye,44.5011,38.1353,9.89,72,100,5.41,RU,1730912515
99,lakeview,42.432,-75.8655,18.97,90,78,4.73,US,1730912516
100,avarua,-21.2078,-159.775,22.03,83,100,1.54,CK,1730912518
101,acajutla,13.5928,-89.8275,28.35,70,86,2.33,SV,1730912520
102,puerto natales,-51.7236,-72.4875,10.25,50,40,10.29,CL,1730912521
103,alice springs,-23.7,133.8833,24.75,61,75,3.09,AU,1730912522
104,cabedelo,-6.9811,-34.8339,30.37,62,55,6.94,BR,1730912524
105,broken hill,-31.95,141.4333,19.06,48,81,8.27,AU,1730912525
106,puerto ayora,-0.7393,-90.3518,22.05,67,98,4.67,EC,1730912526
107,port lincoln,-34.7333,135.8667,14.31,80,90,4.95,AU,1730912527
108,castres,43.5833,2.1667,18.12,77,40,2.57,FR,1730912528
109,hithadhoo,-0.6,73.0833,28.44,72,40,3.54,MV,1730912529
110,kaihua,23.3687,104.28,13.63,92,100,1.81,CN,1730912531
111,oqtosh,39.9214,65.9253,6.54,39,99,4.45,UZ,1730912532
112,nagqu,31.5,92.0,-5.31,22,33,0.85,CN,1730912533
113,tukrah,32.5341,20.5791,19.62,67,0,6.43,LY,1730912534
114,aykhal,66.0,111.5,-10.61,93,100,4.07,RU,1730912535
115,castillos,-34.1667,-53.8333,22.18,50,49,4.34,UY,1730912537
116,poninka,50.1849,27.5363,4.28,46,0,2.81,UA,1730912538
117,dudinka,69.4058,86.1778,-7.89,95,99,6.34,RU,1730912539
118,namibe,-15.1961,12.1522,20.85,82,32,4.71,AO,1730912540
119,christchurch,-43.5333,172.6333,13.84,94,100,4.12,NZ,1730912334
120,ribeira grande,38.5167,-28.7,18.22,55,20,7.72,PT,1730912542
121,codrington,-38.2667,141.9667,8.05,89,60,2.67,AU,1730912544
122,saipan,15.1355,145.701,27.39,91,100,7.2,MP,1730912545
123,praia da vitoria,38.7333,-27.0667,18.14,68,20,7.16,PT,1730912546
124,wailua homesteads,22.0669,-159.378,23.44,95,75,8.23,US,1730912547
125,san antonio de pale,-1.4014,5.6325,25.96,84,68,6.89,GQ,1730912548
126,bathsheba,13.2167,-59.5167,32.34,66,75,7.2,BB,1730912550
127,wucheng,29.6008,118.175,9.32,84,13,1.33,CN,1730912551
128,arkhangel'sk,64.5401,40.5433,3.06,87,75,5.0,RU,1730912552
129,oppdal,62.5943,9.6912,2.43,88,87,1.99,NO,1730912554
130,shendi,16.6915,33.4341,32.27,29,10,3.92,SD,1730912555
131,sierra grande,-41.606,-65.3557,18.76,11,10,8.63,AR,1730912557
